,angry,disgust,faceID,fear,happy,neutral,sad,surprise
0.0,0.09201428598413865,0.0020900918286467156,,0.08950043159226577,0.06283192436676473,0.20311003600557645,0.5337467481692632,0.016706498704540232
1.0,0.027501541443846443,0.0007334826142058856,,0.05484687282957814,0.061226554003290155,0.2884694811972705,0.5513289536942135,0.0158931265309961
2.0,0.020086105540394784,0.00055624560227443,,0.04799211956560612,0.03302185359643772,0.25428787618875504,0.6359718710184097,0.008083939948119224
0.0,0.09201428598413865,0.0020900918286467156,,0.08950043159226577,0.06283192436676473,0.20311003600557645,0.5337467481692632,0.016706498704540232
1.0,0.027483385704133823,0.0007184999449236784,,0.05433629809514336,0.061454262867893863,0.29380543335624365,0.5464297656131827,0.015772366764671777
2.0,0.020086105540394784,0.00055624560227443,,0.04799211956560612,0.03302185359643772,0.25428787618875504,0.6359718710184097,0.008083939948119224
0.0,0.09201428598413865,0.0020900918286467156,,0.08950043159226577,0.06283192436676473,0.20311003600557645,0.5337467481692632,0.016706498704540232
1.0,0.027483385704133823,0.0007184999449236784,,0.05433629809514336,0.061454262867893863,0.29380543335624365,0.5464297656131827,0.015772366764671777
2.0,0.020549355921420185,0.0005399296896939632,,0.04805662245912985,0.036620519811880185,0.26598360457203607,0.6189723069017584,0.00927767803130502
0.0,0.14595343771701058,0.0019376011674315425,,0.16592709937443337,0.1054642410056355,0.1628921768705671,0.39317335536082587,0.024652095530958224
1.0,0.11916565107038388,0.0011151530006543453,,0.1633567937936347,0.07578138177856229,0.20038659466752926,0.4023618468871483,0.03783257914116033
2.0,0.143488703481853,0.0011820376316578063,,0.22245620619505643,0.04699848257296253,0.1632991425343789,0.3729905620217323,0.04958487477269955
0.0,0.14595343771701058,0.0019376011674315425,,0.16592709937443337,0.1054642410056355,0.1628921768705671,0.39317335536082587,0.024652095530958224
1.0,0.1254408006679337,0.0013219343688480774,,0.1652762503626774,0.07537651148115126,0.19699580100241978,0.39793842721660183,0.037650274284148834
2.0,0.143488703481853,0.0011820376316578063,,0.22245620619505643,0.04699848257296253,0.1632991425343789,0.3729905620217323,0.04958487477269955
0.0,0.14595343771701058,0.0019376011674315425,,0.16592709937443337,0.1054642410056355,0.1628921768705671,0.39317335536082587,0.024652095530958224
1.0,0.1254408006679337,0.0013219343688480774,,0.1652762503626774,0.07537651148115126,0.19699580100241978,0.39793842721660183,0.037650274284148834
2.0,0.15100723704913768,0.0014477090434447412,,0.22349600584768667,0.047177135583762894,0.15982049345833862,0.3679888557370116,0.049062571039695926
