,faceID,angry,disgust,fear,happy,sad,surprise,neutral,max_emotion
0,0,0.0035486819688230757,8.788923366864765e-08,0.005487261340022087,0.855143129825592,0.0045829685404896745,0.001030383980832994,0.13020744919776914,happy
30,0,0.06503050029277803,5.968644472886807e-06,0.05915876105427743,0.004497620742768049,0.12271451205015182,0.005005591548979282,0.743587076663971,neutral
31,0,0.06401374936103821,5.970860911475029e-06,0.07175411283969879,0.005006368737667799,0.14689300954341888,0.007849724963307379,0.704477071762085,neutral
33,0,0.08657782524824142,1.1260195606155321e-05,0.07622624188661575,0.005542922765016557,0.1660887449979782,0.011817674152553082,0.653735339641571,neutral
70,0,0.0010983247775584461,4.8747295977591414e-08,0.000554011610802263,0.9641245007514954,0.0014449747977778313,0.00031050661345943814,0.03246765211224556,happy
36,0,0.04694121703505516,1.2601468597495113e-06,0.04351777955889702,0.0023831930011510853,0.0912444144487381,0.007304796017706393,0.8086073994636536,neutral
38,0,0.05184146761894226,1.6723987528166617e-06,0.036293253302574165,0.00046063531772233546,0.11758587509393692,0.002663834486156702,0.7911532521247864,neutral
40,0,0.031149545684456825,2.878859049815219e-06,0.03813712671399117,0.0008692029514349997,0.10765209048986436,0.0014396006008610132,0.8207495808601379,neutral
42,0,0.013789893127977848,7.92039031694003e-07,0.02612772211432457,0.00021109664521645757,0.04925908148288727,0.002692496171221137,0.9079189300537108,neutral
44,0,0.017272144556045532,2.2069311853556432e-06,0.050874434411525726,0.0007978364592418076,0.05483005940914154,0.007752050179988145,0.8684712648391724,neutral
46,0,0.0450563058257103,8.489266292599497e-06,0.3240861296653748,0.0007667556055821477,0.009783810004591942,0.5873340964317322,0.03296445682644844,surprise
28,0,0.11018365621566772,3.160719643346965e-06,0.07836020737886429,0.002939423080533743,0.10638879239559174,0.008359972387552261,0.6937647461891174,neutral
48,0,0.02963654696941376,2.393715931248153e-06,0.22483164072036746,0.006188194267451763,0.02090714685618877,0.617360532283783,0.10107352584600447,surprise
51,0,0.059176255017519004,3.956348336942028e-06,0.3598734140396118,0.03620162233710289,0.04525674879550934,0.30120497941970825,0.1982829719781876,fear
53,0,0.04406915232539177,2.764962118817493e-06,0.3226074278354645,0.0125153549015522,0.04024124890565872,0.4174648523330689,0.16309919953346252,surprise
55,0,0.03457427769899368,3.617889433371602e-06,0.19630903005599976,0.035043276846408844,0.03545056283473968,0.5537868738174438,0.14483237266540527,surprise
57,0,0.027386341243982315,1.670809751885827e-06,0.2798239290714264,0.0120804226025939,0.06175049766898155,0.25080257654190063,0.3681546151638031,neutral
58,0,0.03393348306417465,5.780765604868065e-06,0.2607755959033966,0.02109941840171814,0.12466005235910416,0.059068992733955376,0.5004566311836243,neutral
60,0,0.046506103128194816,6.916431175341132e-06,0.16137874126434326,0.06960919499397278,0.10262060910463333,0.03410956636071205,0.5857689380645752,neutral
62,0,0.06431931257247925,0.0001296449190704152,0.17014846205711365,0.10920574516057968,0.20514042675495148,0.03253844380378723,0.4185179471969605,neutral
64,0,0.057011779397726066,9.640764619689436e-05,0.0969746932387352,0.13474518060684204,0.28908243775367737,0.007713289000093938,0.4143761694431305,neutral
66,0,6.510046659968793e-05,1.3310835100810435e-08,5.426146162790246e-05,0.9958220720291138,0.00011853997420985252,8.819792856229469e-05,0.0038516570348292594,happy
68,0,0.00017943623242899776,9.382691956716371e-09,0.00013782094174530357,0.9894933700561525,0.0003517683071549982,0.00013637618394568565,0.009701280854642393,happy
49,0,0.02547756209969521,5.273811893857783e-07,0.2622225284576416,0.05069250613451004,0.03042513318359852,0.3517189621925354,0.2794627249240875,surprise
26,0,0.07009677588939668,1.947340251717833e-06,0.07253003865480423,0.00395624339580536,0.18660257756710047,0.004815190564841032,0.6619972586631775,neutral
35,0,0.0384863130748272,1.553128072373511e-06,0.033380601555109024,0.0004059112980030477,0.0908633917570114,0.00210446584969759,0.8347578048706055,neutral
24,0,5.497116944752634e-05,3.500189693639299e-09,0.00011105699377367273,0.9904507994651794,6.82053723721765e-05,0.00018442973669152707,0.009130544029176235,happy
2,0,0.0426965169608593,1.2716690207525971e-06,0.10610580444335938,0.021454162895679474,0.09223795682191847,0.014647584408521654,0.7228567004203796,neutral
4,0,0.03776604682207108,1.255872211913811e-05,0.07503677159547806,0.03272123262286186,0.261811763048172,0.004396602511405946,0.5882549881935121,neutral
6,0,0.006279566790908575,1.7283255715483395e-07,0.008823102340102196,0.9164257049560548,0.00562727078795433,0.0046943300403654575,0.05814982205629349,happy
8,0,0.007413433864712716,2.6298474153918505e-07,0.01240050420165062,0.8880367875099182,0.004091522656381129,0.007946705445647241,0.08011066913604736,happy
10,0,0.0028682448901236053,9.307955650683652e-08,0.003057901980355382,0.8856741786003113,0.003668786026537417,0.0013681628042832015,0.10336270183324814,happy
14,0,0.004564838018268347,3.784404896123305e-07,0.006230162922292948,0.904322624206543,0.005980531219393015,0.00502408854663372,0.07387738674879074,happy
16,0,0.0001652984065003693,8.599760903393872e-09,0.0005095278029330075,0.9843516349792479,0.00013816704449709505,0.0004622831474989652,0.014373124577105044,happy
18,0,0.00010984674736391752,8.119226180269834e-09,0.0003114861610811204,0.9900658130645752,0.00011086402082582937,0.00037853166577406233,0.009023476392030716,happy
12,0,0.00234409305267036,1.6485937237575854e-07,0.00396342109888792,0.9125980734825134,0.004029306117445231,0.002887252951040864,0.07417772710323334,happy
20,0,0.0002462145930621773,2.686484101843689e-08,0.0004483398224692792,0.981455385684967,0.00022161120432429013,0.0003825687163043767,0.017245836555957794,happy
